DispositionScore,PlanetaryRadius[Earthradii,TCEPlanetNumbe,StellarEffectiveTemperatureUpperUnc.[K,TransitSignal-to-Nois,ExoplanetCandidate
1.0,2.25,1.0,84.0,31.9,1.0
0.0,32.56,1.0,192.0,343.5,0.0
0.89,32.16,1.0,160.0,20.9,1.0
0.0,35.68,1.0,152.0,1289.0,0.0
0.983,3.2,1.0,70.0,12.8,1.0
0.842,1.88,1.0,82.0,11.5,1.0
0.189,1.21,2.0,108.0,7.6,0.0
0.006,12.28,1.0,157.0,323.4,0.0
0.0,51.86,1.0,170.0,950.0,0.0
1.0,2.48,1.0,98.0,242.7,1.0
0.0,0.97,1.0,179.0,15.4,0.0
0.884,1.14,1.0,78.0,9.0,1.0
0.0,25.43,1.0,164.0,68.5,0.0
0.978,2.12,1.0,103.0,44.9,1.0
1.0,4.56,1.0,171.0,116.2,1.0
0.0,5.19,1.0,186.0,93.8,0.0
1.0,9.73,1.0,83.0,799.7,1.0
0.0,92.55,1.0,158.0,1703.0,0.0
1.0,1.37,1.0,82.0,27.0,1.0
0.999,1.53,1.0,70.0,18.4,1.0
0.998,1.63,2.0,162.0,19.0,1.0
0.752,5.24,1.0,169.0,105.3,1.0
0.937,1.49,1.0,159.0,10.6,1.0
1.0,1.82,3.0,73.0,44.7,1.0
1.0,10.77,1.0,152.0,59.5,0.0
0.882,2.45,1.0,157.0,9.9,1.0
0.0,39.84,2.0,200.0,127.7,0.0
0.0,89.71,1.0,163.0,1307.0,0.0
1.0,2.89,1.0,90.0,22.8,1.0
1.0,12.14,1.0,108.0,1225.3,1.0
1.0,2.77,1.0,172.0,42.6,1.0
0.488,29.8,1.0,155.0,202.0,0.0
0.999,1.35,1.0,83.0,10.6,1.0
1.0,2.52,1.0,170.0,33.2,1.0
0.0,41.22,1.0,183.0,1649.5,0.0
1.0,2.14,1.0,177.0,19.3,1.0
0.677,2.25,1.0,79.0,20.7,1.0
0.997,1.7,1.0,190.0,11.5,1.0
0.656,1.89,1.0,83.0,10.8,1.0
0.987,1.93,1.0,79.0,16.4,1.0
0.0,37.33,2.0,175.0,117.2,0.0
0.0,42.06,1.0,142.0,542.2,0.0
0.995,1.53,2.0,64.0,50.4,1.0
1.0,2.7,1.0,86.0,38.1,1.0
1.0,2.02,1.0,159.0,28.3,1.0
0.001,66.2,1.0,168.0,2657.6,0.0
1.0,4.31,1.0,177.0,7.7,1.0
0.0,162.84,1.0,217.0,655.2,0.0
1.0,3.41,1.0,82.0,19.7,1.0
1.0,2.32,1.0,170.0,45.1,1.0
0.0,69.4,1.0,171.0,7846.3,0.0
0.999,1.63,2.0,76.0,27.9,1.0
0.972,1.91,2.0,79.0,12.7,1.0
0.0,30.37,1.0,173.0,172.7,0.0
0.134,1.18,1.0,167.0,11.2,0.0
0.988,2.89,1.0,175.0,26.3,1.0
0.0,36.01,1.0,143.0,1228.9,0.0
1.0,1.41,1.0,103.0,51.6,1.0
1.0,1.02,1.0,78.0,17.7,1.0
0.0,2.07,1.0,161.0,11.5,0.0
1.0,1.45,2.0,146.0,19.4,1.0
0.974,1.26,1.0,105.0,15.5,1.0
1.0,1.78,1.0,194.0,35.4,1.0
0.0,719.49,1.0,74.0,85.4,0.0
1.0,1.28,1.0,72.0,30.1,1.0
0.927,3.43,1.0,152.0,62.6,1.0
0.0,1.12,1.0,192.0,16.3,0.0
0.0,0.71,1.0,167.0,17.5,0.0
0.999,0.8,1.0,154.0,18.4,1.0
0.52,0.82,2.0,122.0,12.1,1.0
0.998,1.46,1.0,163.0,8.3,1.0
0.971,4.9,1.0,73.0,15.5,1.0
0.0,36.14,1.0,72.0,704.5,0.0
0.0,25.33,1.0,70.0,2126.1,0.0
0.0,96.65,1.0,192.0,904.8,0.0
0.969,1.61,3.0,157.0,15.3,1.0
0.001,55.59,1.0,154.0,43.0,0.0
0.901,2.36,1.0,105.0,24.6,1.0
0.804,7.62,3.0,116.0,7.5,1.0
1.0,1.89,1.0,115.0,45.1,1.0
0.998,1.36,2.0,80.0,15.8,1.0
0.0,162.67,1.0,219.0,1215.2,0.0
1.0,1.55,1.0,77.0,20.2,1.0
0.963,8.98,1.0,102.0,696.0,1.0
0.999,2.51,3.0,79.0,21.8,1.0
0.0,2.92,1.0,169.0,121.1,0.0
0.0,272.44,1.0,217.0,1554.1,0.0
0.0,18.75,1.0,175.0,202.1,0.0
1.0,1.12,1.0,72.0,12.7,1.0
0.0,62.51,1.0,184.0,24.6,0.0
0.0,62.69,1.0,169.0,5742.0,0.0
0.0,1.74,1.0,111.0,43.0,0.0
0.0,82.98,1.0,147.0,2153.0,0.0
0.921,0.84,1.0,155.0,8.5,1.0
0.402,3.78,1.0,182.0,23.7,1.0
0.0,23.71,1.0,152.0,86.6,0.0
0.999,8.8,1.0,107.0,196.6,1.0
1.0,2.04,1.0,157.0,70.9,1.0
1.0,2.26,1.0,149.0,26.8,1.0
0.005,28.41,1.0,171.0,456.6,0.0
1.0,4.86,1.0,164.0,312.1,1.0
1.0,2.69,2.0,74.0,37.8,1.0
0.996,1.7,1.0,182.0,22.1,1.0
0.969,1.14,1.0,151.0,18.6,1.0
0.0,2.03,1.0,220.0,24.6,0.0
1.0,21.92,1.0,155.0,25.0,1.0
1.0,2.3,1.0,152.0,61.8,1.0
0.994,1.23,2.0,193.0,10.1,1.0
0.998,1.71,2.0,121.0,14.3,1.0
0.0,109.55,1.0,75.0,525.4,0.0
1.0,2.98,1.0,90.0,51.4,1.0
0.0,108.46,1.0,194.0,2851.3,0.0
0.0,61.54,1.0,156.0,879.2,0.0
0.0,17.88,1.0,70.0,24.6,0.0
1.0,2.34,1.0,170.0,20.2,1.0
0.665,1.31,1.0,169.0,10.3,1.0
0.0,0.85,1.0,164.0,9.1,0.0
0.999,3.35,1.0,74.0,33.0,1.0
1.0,1.19,1.0,153.0,11.6,1.0
1.0,11.94,1.0,195.0,288.5,1.0
0.23,7.23,2.0,223.0,7.0,0.0
0.0,139.36,1.0,83.0,379.7,0.0
1.0,2.26,1.0,78.0,106.7,1.0
0.999,5.04,1.0,162.0,44.4,1.0
1.0,1.7,1.0,74.0,22.2,1.0
0.0,15.7,1.0,152.0,67.0,0.0
0.994,1.78,2.0,115.0,25.5,1.0
0.424,1.41,1.0,173.0,13.3,0.0
0.0,1.0,1.0,286.0,32.9,0.0
0.736,1.88,1.0,152.0,11.3,1.0
0.0,1.46,1.0,170.0,23.1,0.0
0.0,15.61,1.0,159.0,1642.2,0.0
0.969,2.31,1.0,182.0,26.4,1.0
0.0,0.9,1.0,151.0,25.3,0.0
0.0,1.97,1.0,169.0,36.0,0.0
0.0,1.77,1.0,151.0,65.2,0.0
0.854,3.17,1.0,75.0,10.6,1.0
0.994,26.6,1.0,174.0,12.9,1.0
0.0,48.04,1.0,69.0,210.9,0.0
0.876,2.66,1.0,154.0,35.9,1.0
1.0,2.88,1.0,75.0,38.2,1.0
0.0,187.73,1.0,268.0,104.5,0.0
0.018,1.58,1.0,186.0,13.6,0.0
1.0,1.85,1.0,90.0,42.6,1.0
0.0,38.05,1.0,107.0,339.9,0.0
0.413,0.22,1.0,117.0,17.6,1.0
0.0,38.98,1.0,75.0,66.7,0.0
0.992,1.59,3.0,189.0,15.0,1.0
0.996,1.75,1.0,78.0,17.8,1.0
0.0,2.35,1.0,184.0,23.8,0.0
0.0,25.0,1.0,52.0,987.2,1.0
0.0,1.34,1.0,153.0,23.0,0.0
0.0,1.11,1.0,135.0,37.4,0.0
0.0,1.15,1.0,142.0,12.7,0.0
0.0,0.79,1.0,118.0,26.2,0.0
0.0,25.2,1.0,156.0,24.0,0.0
0.0,0.86,1.0,160.0,15.1,0.0
0.0,68.81,1.0,177.0,1094.6,0.0
0.988,1.72,1.0,71.0,17.6,1.0
0.0,14.41,1.0,162.0,431.6,0.0
0.979,2.02,1.0,151.0,20.3,1.0
0.999,1.0,1.0,74.0,47.7,1.0
0.98,2.66,1.0,79.0,12.3,1.0
1.0,16.89,1.0,120.0,125.9,1.0
0.001,1.33,1.0,189.0,13.1,0.0
0.0,12.89,1.0,159.0,29.3,0.0
1.0,1.54,1.0,151.0,31.1,1.0
1.0,3.13,1.0,176.0,48.3,1.0
1.0,0.97,1.0,104.0,21.9,1.0
1.0,2.07,1.0,172.0,23.0,1.0
0.0,28.59,1.0,176.0,38.2,0.0
0.999,5.73,1.0,100.0,40.2,1.0
0.0,2.15,1.0,179.0,32.0,0.0
0.0,60.59,1.0,162.0,231.4,0.0
0.088,3.28,1.0,186.0,12.4,1.0
0.989,2.67,4.0,114.0,19.4,1.0
0.133,41.44,1.0,172.0,24.2,0.0
0.995,2.08,1.0,78.0,20.4,1.0
0.996,1.75,4.0,90.0,21.4,1.0
0.0,0.35,1.0,62.0,10.3,0.0
0.0,223.75,1.0,113.0,900.9,0.0
1.0,3.1,1.0,182.0,62.0,1.0
1.0,0.58,1.0,109.0,15.1,1.0
0.0,1.5,1.0,128.0,10.0,0.0
0.0,80.25,3.0,170.0,73.2,0.0
1.0,0.9,2.0,79.0,10.6,1.0
0.0,282.86,1.0,193.0,1731.4,0.0
0.0,1.37,1.0,155.0,21.1,0.0
0.565,21.65,1.0,158.0,2590.6,0.0
0.0,3.88,1.0,175.0,68.1,0.0
0.998,1.39,1.0,188.0,14.5,1.0
0.967,3.46,3.0,98.0,66.0,1.0
1.0,2.25,1.0,73.0,8.6,1.0
0.996,2.75,1.0,79.0,21.0,1.0
0.882,1.59,1.0,188.0,13.6,1.0
0.0,88.52,1.0,187.0,422.1,0.0
1.0,0.98,1.0,102.0,22.6,1.0
0.999,1.87,1.0,171.0,24.5,1.0
0.003,31.24,1.0,164.0,79.6,0.0
1.0,1.11,1.0,158.0,11.4,1.0
0.999,16.66,1.0,78.0,2590.1,1.0
0.0,39.76,1.0,167.0,347.6,0.0
0.997,1.47,1.0,157.0,20.0,1.0
0.0,1.27,1.0,68.0,15.8,0.0
1.0,1.45,1.0,175.0,16.5,1.0
0.998,1.94,1.0,70.0,13.1,1.0
0.0,15.11,1.0,183.0,21.6,1.0
0.998,4.01,1.0,104.0,28.7,1.0
1.0,3.19,1.0,174.0,40.6,1.0
1.0,4.13,1.0,69.0,346.9,1.0
0.0,463.05,1.0,58.0,444.7,0.0
0.912,2.29,1.0,85.0,62.0,1.0
1.0,40.32,1.0,164.0,32.6,1.0
0.0,0.97,1.0,166.0,21.5,0.0
0.933,1.23,4.0,172.0,19.6,1.0
0.0,59.16,1.0,193.0,1691.5,0.0
0.983,1.64,2.0,105.0,27.2,1.0
0.0,50.46,1.0,152.0,3786.7,0.0
0.0,33.24,1.0,122.0,535.1,0.0
0.0,0.84,1.0,158.0,10.3,0.0
0.0,5.8,2.0,112.0,78.6,1.0
0.951,0.65,1.0,97.0,8.9,1.0
1.0,1.78,1.0,114.0,54.4,1.0
0.0,109.33,1.0,226.0,3260.0,0.0
0.0,21.94,1.0,159.0,1555.4,0.0
0.0,26.91,1.0,162.0,184.5,0.0
1.0,2.13,1.0,104.0,50.1,1.0
1.0,1.31,1.0,169.0,32.9,1.0
1.0,0.51,5.0,98.0,15.8,1.0
0.0,2.5,1.0,172.0,9.3,0.0
0.0,26.56,1.0,171.0,1398.8,0.0
0.0,30.24,1.0,82.0,8.0,0.0
1.0,1.74,2.0,109.0,41.6,1.0
0.994,2.68,3.0,78.0,25.3,1.0
0.0,0.83,1.0,164.0,21.7,0.0
1.0,2.47,1.0,76.0,106.5,1.0
0.97,4.74,1.0,82.0,34.6,1.0
0.749,1.14,3.0,101.0,14.9,1.0
1.0,103.99,1.0,158.0,12.9,1.0
0.0,403.01,1.0,95.0,23.0,0.0
0.0,62.03,1.0,194.0,38.3,0.0
0.0,0.67,1.0,163.0,10.5,0.0
1.0,1.6,2.0,82.0,13.6,1.0
0.298,3.41,2.0,80.0,16.1,1.0
0.8,1.45,4.0,79.0,12.2,1.0
0.967,2.41,1.0,162.0,10.4,1.0
1.0,2.84,1.0,106.0,52.5,1.0
0.0,47.58,1.0,189.0,352.3,0.0
0.294,1.51,1.0,166.0,16.8,1.0
0.0,27.42,1.0,163.0,311.7,0.0
0.0,91.26,1.0,108.0,1292.0,0.0
0.901,1.33,1.0,82.0,15.6,1.0
0.0,1.33,1.0,146.0,11.5,0.0
1.0,1.88,1.0,171.0,14.3,1.0
0.0,39.94,1.0,176.0,125.0,0.0
0.322,5.03,1.0,172.0,13.9,1.0
0.0,1.36,1.0,193.0,35.3,0.0
0.0,843.45,1.0,153.0,114.5,0.0
0.0,0.75,1.0,145.0,15.3,0.0
0.0,1.21,1.0,164.0,20.4,0.0
0.0,0.94,2.0,72.0,10.9,0.0
0.0,1.09,1.0,163.0,28.2,0.0
0.94,2.2,1.0,83.0,16.2,1.0
0.0,1.85,1.0,164.0,10.0,0.0
0.97,1.82,1.0,111.0,22.6,1.0
0.001,1.27,1.0,73.0,23.6,0.0
1.0,0.98,1.0,110.0,22.4,1.0
0.0,29.34,1.0,194.0,559.2,0.0
1.0,2.09,2.0,85.0,12.3,1.0
0.0,47.87,1.0,159.0,3167.9,0.0
1.0,4.56,1.0,176.0,46.2,1.0
0.0,0.97,1.0,180.0,15.9,0.0
0.995,0.98,1.0,74.0,10.4,1.0
0.0,426.98,1.0,38.0,163.9,0.0
0.0,24.2,1.0,173.0,65.3,0.0
0.0,0.8,1.0,178.0,12.3,0.0
0.758,1.7,2.0,120.0,20.9,1.0
0.0,80.71,1.0,146.0,2717.0,0.0
1.0,2.64,1.0,105.0,88.4,1.0
0.989,0.86,1.0,166.0,8.9,1.0
1.0,1.75,1.0,154.0,22.3,1.0
0.914,1.02,1.0,111.0,14.2,1.0
0.0,144.2,1.0,173.0,148.9,0.0
0.333,0.56,1.0,105.0,15.7,1.0
0.989,22.29,2.0,158.0,22.6,1.0
0.0,38.81,1.0,123.0,628.1,0.0
1.0,2.81,1.0,97.0,128.3,1.0
0.009,27.77,1.0,182.0,124.6,0.0
0.999,4.24,1.0,112.0,155.3,1.0
0.969,1.35,1.0,79.0,9.7,1.0
1.0,2.4,1.0,173.0,34.3,1.0
1.0,5.76,1.0,75.0,161.9,1.0
0.791,1.08,2.0,163.0,12.5,1.0
1.0,2.4,1.0,158.0,25.7,1.0
1.0,1.42,1.0,77.0,112.8,1.0
0.0,23.87,1.0,97.0,9.4,0.0
0.913,3.33,2.0,88.0,11.6,1.0
0.056,2.32,1.0,157.0,20.9,1.0
0.876,12.86,1.0,158.0,123.3,0.0
1.0,0.95,1.0,41.0,15.0,1.0
0.0,35.98,1.0,157.0,4607.4,0.0
0.0,378.99,1.0,55.0,1566.6,0.0
1.0,1.9,1.0,114.0,44.0,1.0
0.983,1.5,1.0,110.0,18.7,1.0
0.0,52.88,1.0,184.0,1435.1,0.0
1.0,1.21,2.0,107.0,20.3,1.0
0.273,1.54,1.0,169.0,7.4,0.0
0.875,0.6,1.0,147.0,9.3,1.0
0.0,1.26,1.0,182.0,10.5,0.0
0.0,1.42,1.0,176.0,16.9,0.0
0.996,1.75,1.0,116.0,27.1,1.0
1.0,0.89,1.0,145.0,12.7,1.0
0.0,34.39,1.0,50.0,37.1,1.0
0.625,2.75,1.0,214.0,11.0,1.0
0.955,0.87,2.0,219.0,11.9,1.0
0.997,2.5,2.0,184.0,17.7,1.0
0.0,9.96,1.0,120.0,166.0,0.0
0.0,15.78,1.0,164.0,26.5,0.0
0.996,2.36,1.0,95.0,15.1,1.0
0.0,36.31,1.0,185.0,55.3,0.0
0.0,0.88,1.0,77.0,7.5,0.0
0.0,5.33,1.0,184.0,100.0,0.0
0.997,0.9,4.0,89.0,26.9,1.0
0.0,69.23,1.0,156.0,1379.1,0.0
0.004,14.93,1.0,162.0,2707.7,0.0
0.0,0.85,1.0,175.0,10.8,0.0
1.0,2.1,1.0,103.0,81.8,1.0
1.0,4.32,1.0,115.0,200.0,1.0
0.0,62.76,1.0,162.0,1740.2,0.0
0.0,540.37,1.0,125.0,54.5,0.0
1.0,2.43,2.0,83.0,23.8,1.0
0.0,1.47,1.0,120.0,37.0,0.0
0.0,61.52,1.0,183.0,5776.1,0.0
0.999,0.83,1.0,166.0,11.2,1.0
0.997,3.4,4.0,113.0,83.1,1.0
0.998,3.41,1.0,184.0,16.8,1.0
0.0,19.02,1.0,154.0,184.1,1.0
0.0,0.88,1.0,152.0,17.1,0.0
0.0,15.83,1.0,158.0,31.2,0.0
1.0,4.03,1.0,81.0,109.4,1.0
1.0,3.18,1.0,110.0,40.6,1.0
0.0,9.48,1.0,124.0,20.7,0.0
0.995,1.14,2.0,169.0,10.9,1.0
0.808,2.65,2.0,117.0,18.9,1.0
0.994,2.32,1.0,207.0,15.0,1.0
0.952,2.42,1.0,152.0,18.0,1.0
1.0,1.88,2.0,93.0,60.0,1.0
0.0,44.2,1.0,103.0,110.3,0.0
0.955,1.45,1.0,160.0,10.7,1.0
0.979,2.02,1.0,116.0,13.0,1.0
0.0,47.62,1.0,159.0,1288.0,0.0
0.0,1.94,1.0,200.0,12.5,0.0
0.015,39.8,1.0,191.0,17.8,1.0
0.0,40.63,1.0,179.0,320.6,0.0
0.0,1.51,1.0,77.0,22.3,0.0
0.0,20.75,1.0,176.0,20.2,0.0
0.0,24.39,1.0,172.0,1820.5,0.0
0.0,0.94,1.0,182.0,11.1,0.0
0.0,3.69,1.0,187.0,7.0,0.0
0.939,1.6,3.0,70.0,12.6,1.0
0.0,97.54,1.0,187.0,420.9,0.0
0.0,1.23,1.0,158.0,23.7,0.0
0.0,28.75,1.0,136.0,2279.1,0.0
0.629,1.98,2.0,74.0,10.4,1.0
0.0,0.81,1.0,157.0,14.6,0.0
0.983,7.62,1.0,194.0,170.1,0.0
0.0,0.5,1.0,67.0,25.3,0.0
0.0,31.84,1.0,173.0,21.5,0.0
0.0,1.23,1.0,173.0,20.5,0.0
0.0,28.15,1.0,172.0,32.9,1.0
0.0,0.81,1.0,166.0,10.8,0.0
0.0,83.25,1.0,67.0,218.3,0.0
0.0,51.47,1.0,155.0,272.8,0.0
0.858,1.65,1.0,179.0,17.0,1.0
0.0,55.26,1.0,176.0,877.8,0.0
0.99,0.93,1.0,147.0,13.6,1.0
0.981,3.66,2.0,51.0,24.1,1.0
0.0,1.81,1.0,144.0,48.5,0.0
0.0,45.85,1.0,163.0,1186.0,0.0
0.0,5.01,1.0,129.0,200.6,0.0
0.0,2.17,1.0,157.0,36.0,0.0
0.0,35.62,1.0,160.0,489.6,0.0
0.0,0.46,1.0,73.0,14.1,0.0
0.0,43.95,1.0,166.0,873.6,0.0
0.0,41.01,1.0,145.0,850.4,0.0
1.0,2.56,3.0,120.0,25.3,1.0
0.998,2.23,1.0,190.0,15.8,1.0
0.0,22.39,1.0,152.0,46.3,0.0
1.0,1.61,3.0,114.0,29.3,1.0
0.0,0.52,1.0,160.0,12.0,0.0
0.0,124.19,1.0,204.0,155.4,0.0
1.0,7.14,1.0,83.0,380.8,1.0
0.0,2.07,1.0,178.0,60.6,0.0
1.0,13.08,1.0,82.0,653.4,1.0
0.0,0.64,1.0,163.0,10.1,0.0
0.0,51.97,1.0,150.0,524.8,0.0
0.0,28.37,1.0,153.0,31.4,0.0
0.989,2.36,2.0,159.0,20.1,1.0
1.0,2.45,1.0,112.0,40.5,1.0
0.0,156.91,1.0,211.0,4630.1,0.0
0.0,57.46,1.0,164.0,100.1,0.0
0.0,40.74,1.0,160.0,1160.6,0.0
0.768,1.62,1.0,76.0,13.9,1.0
0.98,0.81,2.0,151.0,10.6,1.0
0.001,2.63,1.0,166.0,7.9,0.0
1.0,1.53,1.0,100.0,62.1,1.0
0.001,0.76,1.0,70.0,12.7,0.0
0.0,149.19,1.0,60.0,773.4,0.0
0.012,60.35,1.0,190.0,296.8,0.0
0.0,155.81,1.0,211.0,367.3,0.0
0.971,0.83,1.0,147.0,10.0,1.0
0.242,3.82,1.0,116.0,45.9,1.0
0.358,2.9,1.0,136.0,9.1,0.0
0.0,64.0,2.0,177.0,79.5,0.0
0.999,0.84,4.0,109.0,24.8,1.0
0.0,1.29,1.0,204.0,14.5,0.0
1.0,4.87,1.0,560.0,210.5,1.0
0.492,0.97,1.0,194.0,9.3,1.0
0.999,1.94,1.0,149.0,25.1,1.0
0.0,30.38,1.0,149.0,87.9,0.0
0.971,1.08,2.0,115.0,19.8,1.0
1.0,2.77,1.0,159.0,38.0,1.0
0.185,2.35,1.0,195.0,15.7,1.0
1.0,2.54,1.0,73.0,115.7,1.0
1.0,3.46,1.0,78.0,39.4,1.0
0.0,1.61,1.0,180.0,19.1,0.0
1.0,3.75,1.0,158.0,74.6,1.0
0.0,4.86,1.0,160.0,63.7,0.0
0.0,1.24,1.0,172.0,18.7,0.0
0.898,5.97,1.0,87.0,11.6,1.0
1.0,3.34,1.0,159.0,61.4,1.0
0.0,50.51,1.0,175.0,11.1,0.0
0.0,19.94,1.0,90.0,7.8,0.0
0.889,0.87,1.0,72.0,42.8,1.0
1.0,3.28,1.0,177.0,30.8,1.0
0.999,1.53,1.0,176.0,10.6,1.0
0.376,24.74,2.0,175.0,16.9,0.0
0.0,46.33,1.0,169.0,224.5,0.0
1.0,2.67,1.0,166.0,10.1,1.0
0.0,35.19,1.0,183.0,150.0,0.0
1.0,2.66,1.0,189.0,45.1,1.0
0.0,1.03,1.0,166.0,10.4,0.0
0.0,42.54,1.0,171.0,1587.6,0.0
0.0,9.82,1.0,162.0,99.2,0.0
0.0,1.08,1.0,171.0,12.8,0.0
0.996,1.72,1.0,151.0,70.1,1.0
0.999,11.49,1.0,104.0,380.9,1.0
0.0,46.61,1.0,152.0,2314.5,0.0
0.0,4.98,1.0,74.0,57.0,1.0
0.935,0.84,1.0,235.0,22.8,0.0
0.982,2.93,1.0,170.0,36.9,1.0
0.0,40.36,1.0,156.0,222.3,0.0
1.0,4.22,1.0,82.0,21.8,1.0
0.985,1.54,1.0,149.0,13.2,1.0
0.0,39.51,1.0,166.0,1227.6,0.0
0.994,14.21,1.0,181.0,561.1,1.0
0.99,1.28,1.0,160.0,10.7,1.0
1.0,3.25,1.0,77.0,71.1,1.0
0.0,33.99,1.0,156.0,712.6,0.0
1.0,2.11,1.0,86.0,40.1,1.0
0.846,0.79,1.0,158.0,8.5,1.0
1.0,2.03,1.0,97.0,90.8,1.0
0.0,35.81,1.0,166.0,739.8,0.0
0.0,47.81,1.0,157.0,1095.9,0.0
0.999,2.59,1.0,96.0,59.4,1.0
0.0,68.86,1.0,161.0,1618.4,0.0
1.0,6.24,1.0,83.0,226.8,1.0
0.0,1.31,1.0,169.0,18.0,0.0
0.0,1.26,1.0,155.0,15.3,0.0
1.0,1.6,1.0,187.0,15.9,1.0
0.981,1.08,1.0,166.0,10.3,1.0
0.0,0.81,1.0,166.0,7.6,0.0
0.0,89.55,1.0,163.0,154.4,0.0
0.0,39.03,1.0,38.0,36.9,0.0
0.981,2.95,2.0,99.0,41.8,1.0
0.0,3.29,1.0,247.0,69.3,0.0
0.0,1.26,1.0,160.0,13.3,0.0
1.0,1.6,1.0,153.0,23.9,1.0
0.856,0.51,1.0,74.0,13.7,1.0
0.0,0.62,1.0,152.0,24.0,0.0
0.0,114.63,1.0,178.0,2951.2,0.0
0.961,1.23,1.0,76.0,11.4,1.0
0.0,56.66,1.0,171.0,1386.8,0.0
0.998,2.3,2.0,80.0,48.9,1.0
0.0,26.93,1.0,158.0,272.0,0.0
0.0,46.24,1.0,165.0,257.4,0.0
0.0,53.0,1.0,165.0,2642.2,0.0
0.0,1.22,1.0,174.0,14.1,0.0
0.0,44.78,1.0,152.0,2368.6,0.0
1.0,2.86,1.0,111.0,132.0,1.0
0.999,2.07,5.0,117.0,15.1,1.0
0.987,13.98,1.0,216.0,8.6,1.0
0.0,15.45,1.0,177.0,150.5,1.0
0.0,14.45,1.0,57.0,314.1,0.0
0.0,40.43,1.0,163.0,759.7,0.0
0.963,1.52,1.0,76.0,16.1,1.0
0.0,0.72,2.0,160.0,15.4,0.0
0.997,5.3,1.0,156.0,96.8,1.0
1.0,2.95,1.0,160.0,46.8,1.0
1.0,1.52,1.0,155.0,21.6,1.0
0.0,37.15,1.0,182.0,146.3,0.0
1.0,1.46,3.0,122.0,22.0,1.0
0.0,10.3,1.0,112.0,157.4,1.0
1.0,2.53,1.0,161.0,26.3,1.0
0.0,8.4,1.0,182.0,71.0,0.0
0.999,1.78,1.0,71.0,19.7,1.0
1.0,2.34,1.0,79.0,82.4,1.0
1.0,2.41,1.0,175.0,16.8,1.0
0.0,25.76,1.0,189.0,231.7,0.0
0.985,0.99,1.0,118.0,20.2,1.0
0.0,12.23,1.0,159.0,258.5,1.0
1.0,0.78,1.0,44.0,111.4,1.0
1.0,5.94,1.0,112.0,456.8,1.0
0.993,1.82,1.0,76.0,13.0,1.0
1.0,1.67,1.0,83.0,46.6,1.0
0.0,26.31,1.0,212.0,22.1,0.0
1.0,4.84,1.0,79.0,33.6,1.0
0.0,1.35,1.0,133.0,60.9,0.0
0.0,2.66,1.0,148.0,51.7,0.0
0.034,43.89,1.0,164.0,124.3,0.0
0.989,2.86,2.0,124.0,17.4,1.0
0.0,2.17,1.0,161.0,98.7,0.0
1.0,14.43,1.0,125.0,556.2,1.0
0.0,16.26,1.0,106.0,508.4,0.0
0.409,1.09,1.0,129.0,7.4,1.0
0.0,1.14,1.0,167.0,23.7,0.0
0.0,64.99,1.0,197.0,339.5,0.0
0.0,107.0,1.0,216.0,967.4,0.0
0.0,58.48,1.0,146.0,5083.9,0.0
1.0,3.71,1.0,70.0,49.8,1.0
0.995,1.23,1.0,78.0,23.4,1.0
0.0,59.57,1.0,169.0,160.6,0.0
0.0,1.46,1.0,164.0,35.4,0.0
0.0,105.22,1.0,180.0,1594.1,0.0
0.0,23.6,1.0,160.0,36.7,0.0
1.0,2.8,1.0,174.0,21.1,1.0
0.999,3.7,1.0,78.0,25.3,1.0
0.0,43.47,1.0,71.0,1107.1,0.0
0.999,2.66,2.0,167.0,38.1,1.0
0.0,0.78,1.0,164.0,11.1,0.0
0.0,1.82,1.0,146.0,36.0,0.0
0.995,1.87,1.0,189.0,22.6,1.0
0.685,0.85,1.0,171.0,13.3,0.0
0.862,0.87,1.0,159.0,14.1,1.0
0.0,31.01,1.0,183.0,139.5,0.0
0.995,1.73,2.0,122.0,19.3,1.0
1.0,2.92,3.0,193.0,19.0,1.0
0.089,5.05,1.0,110.0,52.1,0.0
0.0,38.95,1.0,204.0,174.4,0.0
0.0,37.5,1.0,150.0,126.9,0.0
0.953,7.57,1.0,75.0,64.0,1.0
0.994,0.62,1.0,163.0,9.8,1.0
0.999,1.13,1.0,161.0,15.7,1.0
0.0,24.73,1.0,169.0,58.1,0.0
0.0,29.45,2.0,156.0,628.3,0.0
1.0,1.82,1.0,82.0,44.7,1.0
1.0,1.83,2.0,187.0,9.7,1.0
0.0,27.36,1.0,119.0,175.9,0.0
0.0,20.57,1.0,154.0,37.7,0.0
1.0,3.52,1.0,181.0,71.9,1.0
0.0,1.19,1.0,170.0,16.1,0.0
0.0,1.7,1.0,166.0,23.1,0.0
0.0,2.97,2.0,181.0,44.7,1.0
0.0,24.29,1.0,153.0,37.3,0.0
0.0,49.25,1.0,124.0,250.8,0.0
0.0,27.09,1.0,71.0,129.5,0.0
1.0,3.54,1.0,80.0,64.4,1.0
0.0,77.1,1.0,58.0,1708.1,0.0
0.947,1.86,2.0,79.0,14.0,1.0
0.0,17.53,1.0,184.0,1703.2,0.0
0.0,27.45,1.0,42.0,61.3,0.0
0.675,0.72,1.0,161.0,8.4,1.0
0.763,1.8,2.0,74.0,10.7,1.0
0.985,1.84,1.0,181.0,14.2,1.0
0.0,55.2,1.0,185.0,1898.4,0.0
1.0,1.35,2.0,75.0,20.0,1.0
1.0,430.99,1.0,77.0,76.7,0.0
