DispositionScore,PlanetaryRadius[Earthradii,TCEPlanetNumbe,StellarEffectiveTemperatureUpperUnc.[K,TransitSignal-to-Nois,ExoplanetCandidate
0.981,2.72,2.0,70.0,9.8,1.0
0.0,24.77,1.0,162.0,192.2,0.0
0.0,39.16,1.0,173.0,380.6,0.0
0.644,28.94,1.0,168.0,204.7,0.0
0.0,1.72,1.0,190.0,38.4,0.0
1.0,2.54,1.0,74.0,19.1,1.0
0.0,89.16,1.0,175.0,4311.3,0.0
1.0,1.22,1.0,110.0,36.7,1.0
0.276,32.19,1.0,148.0,2493.3,0.0
0.0,44.48,1.0,169.0,2541.2,0.0
0.0,0.77,1.0,151.0,14.4,0.0
0.0,66.65,1.0,174.0,3497.6,0.0
0.998,7.94,1.0,158.0,707.3,1.0
0.997,1.49,1.0,168.0,15.9,1.0
0.0,25.72,1.0,156.0,74.5,0.0
1.0,2.96,2.0,176.0,20.5,1.0
1.0,1.15,1.0,77.0,21.1,1.0
0.0,54.56,1.0,132.0,1758.7,0.0
0.0,5.08,1.0,168.0,94.5,0.0
0.0,120.02,1.0,83.0,277.9,0.0
0.0,8.0,1.0,137.0,221.4,0.0
0.794,1.06,2.0,129.0,11.6,1.0
1.0,0.66,1.0,96.0,13.6,1.0
0.0,1.31,1.0,176.0,15.1,0.0
0.816,2.26,1.0,181.0,30.5,1.0
0.0,0.48,1.0,131.0,15.9,0.0
0.0,72.26,1.0,164.0,3295.6,0.0
0.0,2.78,2.0,114.0,37.2,1.0
1.0,1.92,1.0,80.0,34.7,1.0
0.992,2.52,2.0,74.0,18.3,1.0
0.0,25.44,1.0,202.0,3568.1,0.0
0.0,23.19,1.0,193.0,17.0,0.0
1.0,1.41,1.0,181.0,10.4,1.0
0.0,26.13,1.0,169.0,7.8,0.0
0.0,2.22,1.0,164.0,13.2,0.0
0.969,1.65,1.0,80.0,13.3,1.0
0.994,10.0,3.0,77.0,22.1,1.0
1.0,1.78,2.0,76.0,15.0,1.0
0.995,1.85,1.0,174.0,10.4,1.0
0.917,2.9,3.0,174.0,16.4,1.0
1.0,0.96,1.0,96.0,21.9,1.0
0.997,2.4,1.0,107.0,51.7,1.0
1.0,1.7,3.0,155.0,25.6,1.0
0.0,1.17,1.0,172.0,14.8,0.0
1.0,1.64,1.0,143.0,11.9,1.0
0.0,16.99,1.0,158.0,85.2,0.0
0.554,1.27,1.0,81.0,14.1,1.0
1.0,1.7,1.0,181.0,16.4,0.0
0.761,60.74,1.0,179.0,51.8,0.0
0.55,1.17,2.0,169.0,11.3,1.0
